mfcc_1_mu,mfcc_1_sd,mfcc_2_mu,mfcc_2_sd,mfcc_3_mu,mfcc_3_sd,mfcc_4_mu,mfcc_4_sd,mfcc_5_mu,mfcc_5_sd,mfcc_6_mu,mfcc_6_sd,mfcc_7_mu,mfcc_7_sd,mfcc_8_mu,mfcc_8_sd,mfcc_9_mu,mfcc_9_sd,mfcc_10_mu,mfcc_10_sd,mfcc_11_mu,mfcc_11_sd,mfcc_12_mu,mfcc_12_sd,mfcc_13_mu,mfcc_13_sd,sex,Class
5.087791892,1.246068855,-2.720780541,2.833213492,0.459380541,1.384868923,-1.709340081,1.315781506,-0.694126386,0.881391759,-0.387808865,0.728060936,-0.465115857,0.492918572,-0.521329351,0.705035593,-0.199383497,0.528068656,-0.702044703,0.721048327,-0.446206973,0.550152017,-0.687725459,0.703992859,-0.258865944,0.414525491,0,9
3.222291632,1.666866577,-2.302960526,0.493218828,-0.964166342,1.402685436,-1.521260732,1.082065389,-0.858474737,0.611574907,-0.339854568,0.414841248,-0.296284263,0.336308781,-0.866646579,0.344797286,0.189043834,0.342360914,-0.217299737,0.426818346,-0.566993347,0.344767715,-0.748275289,0.420883076,-0.474151947,0.270326634,0,4
2.750641944,1.655639916,-3.369938889,1.103552711,-1.32561,1.517744766,-1.460173583,1.076695354,-0.726280139,0.80081456,-0.528815861,0.714343404,-0.088253417,0.532171341,-0.553045451,0.51445356,-0.630754642,0.520284894,-0.843147778,0.457210243,-0.168863306,0.516725809,-0.207159817,0.417556536,-0.523065833,0.463296086,1,1
2.29121342,2.342369448,-3.243547955,0.916002054,-0.274866023,1.685880162,-0.64335875,1.396334853,0.232965795,0.862979065,-0.271261727,0.585661094,-0.397398082,0.648457688,-0.484851295,0.849779801,-0.138188841,0.470314773,-0.675111205,0.684529223,-0.286426091,0.396725365,-0.182147273,0.472384429,-0.286191573,0.417096924,1,5
1.820169655,2.327968191,-3.550293448,1.491332212,-0.317213793,1.455030127,-1.103711224,1.433288261,-0.582181034,0.977056302,-0.173113862,0.580248542,-0.185723897,0.556321243,-0.618816345,0.787098958,0.239724345,0.374294482,-0.341269293,0.483615918,-0.270007428,0.467927543,-0.106173721,0.339497036,-0.066801724,0.189639043,1,0
2.542410426,0.83965207,-2.52766383,0.543693423,1.175511191,0.610554127,0.138778426,0.55298356,-0.966326447,0.670465448,-0.812595851,0.530439254,-0.779487021,0.383755011,-0.78456783,0.713506619,0.061352691,0.497909861,-0.654104979,0.383021749,-0.247986736,0.408880795,-0.496781298,0.353314503,-0.481498078,0.283603498,0,8
1.785323043,3.163790816,-3.852407391,1.677527783,-1.014160391,2.145524191,-1.359411526,1.21588642,-0.707381348,1.297376704,-0.468422043,0.90659053,-0.365836383,0.67108153,-0.052608565,0.711669691,0.018910357,0.396134716,-0.518549891,0.630060836,-0.224153793,0.442750292,-0.067313543,0.464833441,-0.119248974,0.684847727,1,0
0.7902296,2.869109929,-3.885851429,0.895147201,-1.047278971,1.840606126,-1.198597869,1.017089028,-0.427559971,0.80174589,-0.769139686,0.667900153,-0.555103257,0.591179513,-0.917315543,0.783773627,-0.5054404,0.498992799,-0.388716186,0.450771972,0.016954029,0.422575211,0.207859294,0.446579392,0.149595,0.366563153,1,9
2.1680758,2.42774322,-3.182034286,0.726454071,-0.8105726,1.603345781,-1.466198531,1.311155162,-0.302561771,0.881755376,-0.638135309,0.894970901,-0.220154739,0.480764233,-0.476787571,0.590112022,-0.38071384,0.616143789,-0.490163714,0.532749937,-0.209486343,0.420581937,-0.293730657,0.465639367,-0.373062943,0.567717063,1,9
3.970245238,0.982826856,-3.124502381,0.898028054,-0.010629167,1.792072028,-1.617575643,0.988474205,-1.812822143,0.751327842,-1.722175238,0.585200492,-0.479617071,0.571232718,-1.1914185,0.630975001,-0.411263167,0.543654262,-0.7521215,0.370314231,-0.39519769,0.288433194,-0.61661131,0.494649882,-0.556439048,0.296630746,1,8
2.713596389,2.751545279,-1.881378833,1.062185905,-0.510249306,1.045259045,-0.885379832,1.124610678,-0.697554167,0.705395175,-0.272818639,0.439862276,-0.682473594,0.709597524,0.281805822,0.59929583,0.014252242,0.437432534,0.136443653,0.184230727,-0.379234917,0.428541639,-0.161422103,0.499450898,0.210382389,0.366264947,0,3
3.503681556,1.083983897,-2.669217778,0.503679543,-0.273638,1.315307565,-0.997288089,0.817750328,-1.388683511,0.761607032,-1.121964444,0.795088559,-0.659158489,0.419113435,-0.457178524,0.757280116,0.218122216,0.375273658,-0.601048133,0.395571183,-0.497822911,0.484366331,-0.4384396,0.375830791,-0.006283589,0.353328891,0,8
1.796454024,2.282842444,-2.061494524,0.845647183,0.301149024,0.858891401,-1.665329048,1.421978614,-0.942943071,0.450696621,-1.14392219,0.798979195,-0.265469262,0.688054955,-0.508366262,0.812445588,0.09386669,0.355912426,-0.011023048,0.398435506,-0.102148619,0.665231256,-0.713488976,0.61477752,-0.185575214,0.447930591,0,3
2.180391457,3.208736909,-3.567129783,3.162802105,0.079332609,2.057864254,-0.771815454,1.369496072,-0.470421326,1.227782735,-0.595771824,0.615777641,-0.34848886,0.781786854,-0.286849959,0.682171937,-0.206638954,0.636710655,-0.131320804,0.492492633,-0.099775826,0.770078736,-0.161762022,0.621901167,-0.165415543,0.422234053,0,6
0.630729659,2.806104529,-2.077508864,0.812552951,-0.217852056,0.840911726,-1.399856523,0.869990102,-1.027332273,0.718889668,-0.624384682,0.792234732,-0.226173327,0.488452649,0.070653114,0.437851833,0.24728163,0.360993938,-0.046934361,0.335119497,-0.506272214,0.653526128,-0.057148977,0.28967283,0.084784474,0.333020703,0,3
1.971918333,2.233972068,-4.144490071,2.462541974,-0.772182095,1.636919423,-1.393315952,1.267758932,-0.341269952,0.905640302,-0.53140954,1.068457064,-0.202443786,0.681304084,0.00812181,0.562989444,-0.107043376,0.409456474,-0.358513552,0.727844129,-0.049827969,0.445195403,-0.099185533,0.343928503,-0.151210048,0.667360446,1,0
3.863939978,2.313593988,-5.583355556,2.222667372,-0.330442898,0.920912713,-2.044396889,0.957416336,-2.164821556,0.586683235,-0.880630156,1.033292557,0.7937978,0.850279086,-0.327711422,0.870549764,-0.420186449,0.561138459,-0.750530351,0.626285113,-0.525899578,0.517754068,0.104019289,0.685257739,0.234914273,0.668745383,1,1
