A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,Class
-0.00500942,-0.00096371,0.00057277,0.00862299,0.00566678,0.00130194,-0.00063136,0.0001299,-0.00004828,0.00776178,-0.00122644,0.00044992,-0.00451854,-0.00088952,0.00048922,0.00061139,0.00045307,0.00059032,0.00004335,0.00007839,-0.00001933,-0.00039585,-0.0000071,0.00018808,0.00513333,0.01040016,0.00064639,0.00787095,0.00463118,0.0009631,0.00009164,0.00043831,D
0.00490517,0.00120913,-0.0006486,0.00473704,0.00316629,0.00081919,-0.00057235,-0.00001515,0.00002336,0.0027057,0.00211034,0.00043943,0.00070818,0.0001552,-0.00008724,-0.00027757,-0.00017861,-0.00003448,0.00000421,-0.00001036,0.00000512,-0.00036115,0.00023834,-0.00000075,0.00509346,0.00575639,0.00057303,0.0034594,0.00073022,0.00033186,0.0000123,0.00043271,D
-0.00239286,-0.00021588,0.0001363,0.00302789,0.00121153,0.00033612,-0.0004494,0.00001708,0.00004682,0.00286819,0.00151946,0.00031792,-0.0023542,-0.00045968,0.00025319,-0.00055134,-0.00063057,-0.00015583,0.00003966,0.0000104,0.00000757,0.00005242,-0.00019061,-0.0000392,0.00240645,0.00327855,0.00045215,0.00326135,0.00241199,0.00085198,0.0000417,0.00020153,D
-0.00139426,-0.00024179,0.00005613,0.00118226,0.00057489,0.00022497,-0.00047948,-0.00004954,0.00010383,0.00117103,0.00065191,0.00021602,0.00031206,-0.0000081,-0.00002505,-0.00057676,-0.00019895,-0.00003473,-0.0000094,-0.00002082,0.00001782,-0.00053036,-0.00027111,-0.00003184,0.00141618,0.00133373,0.00049308,0.00135756,0.00031317,0.0006111,0.00002897,0.00059649,D
-0.00015644,-0.0000041,0.00002252,0.00158539,0.00063024,0.0000939,-0.00030293,0.00009733,0.00006506,0.00157864,0.00066004,0.00009109,0.00019965,0.00003834,-0.00000542,0.00006502,0.00000893,-0.00002114,0.00002847,0.00002369,-0.00000625,0.00006574,0.00000131,-0.00002015,0.00015811,0.00170865,0.00032477,0.0017135,0.00020337,0.00006895,0.00003756,0.00006877,D
-0.00003197,0.00002714,0.00001624,0.00148215,0.00073159,0.00006539,0.00036948,0.00014128,-0.0000538,0.00147526,0.00074975,0.00006318,0.00004015,0.00001008,-0.00000203,-0.0000333,0.00003269,-0.0000092,0.00021691,0.00001418,-0.00003834,-0.00003335,0.00002894,-0.000009,0.00004497,0.00165417,0.00039921,0.00165605,0.00004145,0.00004757,0.00022072,0.00004506,D
0.00003288,0.00000232,0.00002439,0.00115004,0.00070915,0.00007876,0.00133639,0.00030305,-0.00003738,0.00113784,0.00071846,0.00007608,0.00002092,-0.00000801,0.00000263,-0.00010713,-0.00000724,0.00000431,0.00031191,0.00005218,0.0000053,-0.00010885,-0.0000101,0.00000416,0.000041,0.0013534,0.00137083,0.00134783,0.00002255,0.00010746,0.00031629,0.00010939,D
0.00014598,0.00029081,0.00002747,0.00125729,0.00090158,0.00006047,0.00262813,0.00058219,-0.00014158,0.00124606,0.00090983,0.0000581,0.00007069,0.00018031,0.00000193,0.00006703,0.00012027,-0.00001143,0.00080734,0.00017447,-0.00006513,0.00006764,0.00011961,-0.00001123,0.00032655,0.00154832,0.00269556,0.00154397,0.00019368,0.00013816,0.00082854,0.00013787,D
-0.00198454,-0.00027907,0.00003833,0.0000729,0.00034662,0.00007113,0.00127632,0.00059183,0.00001889,0.00006318,0.00034621,0.00006935,-0.0004533,-0.00012125,0.00000231,-0.000252,-0.00011808,0.00000227,-0.00028762,0.00000205,0.00003414,-0.00025168,-0.00011992,0.00000239,0.00200443,0.00036128,0.00140698,0.0003587,0.00046924,0.0002783,0.00028965,0.0002788,D
-0.00160139,0.00008194,0.00005941,-0.00026848,0.00028159,0.00004379,0.00062737,0.00050451,-0.00013615,-0.0002752,0.00028334,0.00004266,0.00025543,0.00024067,0.00001405,-0.00022759,-0.00004336,-0.00001823,-0.00043263,-0.00005821,-0.00010336,-0.00022559,-0.00004191,-0.00001779,0.00160459,0.00039152,0.00081649,0.00039729,0.00035123,0.00023239,0.0004486,0.00023014,D
-0.00115178,0.00001791,0.00004795,-0.00020184,0.00012097,0.00002577,-0.00030668,0.00040814,-0.00024189,-0.00020756,0.00012034,0.00002474,0.00009566,-0.00001362,-0.00000244,0.00001418,-0.00003417,-0.00000383,-0.00019873,-0.00002051,-0.0000225,0.00001439,-0.00003468,-0.00000381,0.00115292,0.00023672,0.00056493,0.00024119,0.00009666,0.0000372,0.00020105,0.00003774,D
0.00068018,0.0004873,0.00003784,-0.00006211,0.00008277,0.00002801,-0.0000999,0.00033969,-0.00007005,-0.00006966,0.00007954,0.00002657,0.00011743,0.00003009,-0.00000065,0.00000896,-0.00000245,0.00000014,0.00001326,-0.00000439,0.00001102,0.00000884,-0.00000262,0.00000012,0.00083758,0.00010721,0.00036094,0.00010902,0.00012123,0.00000929,0.00001778,0.00000922,D
0.00039025,0.00035216,0.00003573,0.00005121,0.0000224,0.00003277,-0.00027662,0.00035059,-0.00003807,0.00004204,0.00001693,0.00003091,-0.00018121,-0.00008446,-0.00000132,0.00007083,-0.00003773,0.00000297,-0.00011045,0.00000681,0.00001999,0.00006981,-0.00003913,0.00000271,0.00052687,0.00006479,0.0004482,0.00005486,0.00019993,0.00008031,0.00011246,0.00008008,D
0.00030942,0.00016301,0.00003341,0.00004058,0.00003549,0.00005856,0.00025428,0.00024806,0.00007191,0.00002806,0.00002817,0.00005605,-0.00002608,-0.00006102,-0.00000075,-0.00000343,0.00000422,0.00000832,0.00017126,-0.00003307,0.00003548,-0.00000451,0.00000363,0.00000811,0.00035132,0.00007959,0.00036244,0.00006872,0.00006636,0.00000994,0.000178,0.00000996,D
-0.00041184,-0.00046441,0.0000228,-0.00001613,0.00005279,0.00008462,-0.00054214,-0.00027262,-0.00013103,-0.00003046,0.00004455,0.00008171,-0.00015346,-0.00013349,-0.00000226,-0.00001207,0.00000368,0.00000555,-0.00016945,-0.00011078,-0.00004318,-0.00001245,0.00000348,0.00000546,0.00062113,0.00010103,0.00062082,0.00009792,0.00020341,0.00001378,0.00020701,0.00001404,D
-0.00059239,-0.00077236,0.00000082,-0.00047319,-0.00048465,0.00003525,-0.00059906,-0.00050006,-0.00008368,-0.00048776,-0.00049254,0.00003229,-0.00012037,-0.00020531,-0.00001465,-0.00030471,-0.00035829,-0.00003291,-0.00003794,-0.00015163,0.00003157,-0.00030486,-0.00035806,-0.00003295,0.00097338,0.00067826,0.00078481,0.00069394,0.00023844,0.00047149,0.00015946,0.00047142,D
-0.00159247,-0.00093598,-0.00000843,-0.00033688,-0.0005339,-0.00000325,-0.00093164,-0.00056307,-0.00031459,-0.0003474,-0.00053982,-0.00000539,-0.00031252,-0.00005113,-0.00000289,0.0000426,-0.00001539,-0.00001203,-0.00010393,-0.00001969,-0.00007216,0.00004386,-0.00001477,-0.00001177,0.00184718,0.00063131,0.00113312,0.00064197,0.00031669,0.00004686,0.00012805,0.00004776,D
-0.00157419,-0.0009266,-0.0000078,-0.00030524,-0.00069904,-0.0000084,0.00037188,-0.00041163,-0.00021384,-0.00031931,-0.00070695,-0.00001123,0.00000589,0.00000302,0.00000021,0.00001021,-0.00005327,-0.00000166,0.00042049,0.00004885,0.0000325,0.00000906,-0.00005391,-0.00000189,0.00182668,0.00076283,0.00059452,0.0007758,0.00000663,0.00005427,0.00042456,0.0000547,D
-0.00174528,-0.00086837,-0.00000943,-0.00022904,-0.00022721,0.00001844,-0.00110454,-0.00066614,0.00002113,-0.00023839,-0.00023249,0.00001661,-0.00011406,0.00003882,-0.00000109,0.0000508,0.00031456,0.00001789,-0.00098428,-0.00016967,0.00015665,0.00005394,0.00031631,0.00001856,0.0019494,0.00032314,0.00129003,0.0003334,0.00012049,0.00031914,0.00101101,0.00032141,D
-0.00054361,-0.00036777,0.00000538,-0.00018607,-0.0002173,0.00001171,-0.00167709,-0.00061205,0.00017845,-0.00019385,-0.00022159,0.0000102,0.00037552,0.00015644,0.00000463,0.00001343,0.00000309,-0.0000021,-0.00017892,0.0000169,0.00004916,0.00001392,0.00000341,-0.000002,0.00065635,0.00028632,0.00179418,0.00029459,0.00040683,0.00001394,0.00018632,0.00001447,D
-0.00065737,-0.00031664,0.00000689,-0.00020767,-0.00018221,0.00000961,-0.0020254,-0.00055725,0.00026091,-0.00021376,-0.0001856,0.0000084,-0.00003669,0.00001649,0.00000049,-0.00000697,0.00001132,-0.00000068,-0.00011236,0.00001768,0.0000266,-0.00000642,0.00001161,-0.00000058,0.00072969,0.00027644,0.0021168,0.00028322,0.00004023,0.00001331,0.00011681,0.00001328,D
-0.00028601,-0.00006591,0.00000325,0.00060054,0.00002164,0.00000951,-0.0003977,-0.00013183,0.00004433,0.00059395,0.0000176,0.00000819,0.00011979,0.00008088,-0.00000118,0.00026071,0.00006576,-0.00000003,0.00052506,0.00013723,-0.00006987,0.00026055,0.00006555,-0.00000007,0.00029353,0.000601,0.00042132,0.00059426,0.00014454,0.00026888,0.00054718,0.00026867,D
-0.00010488,0.00007783,-0.00000066,0.00060352,0.00006136,0.00000172,0.00022501,0.00015919,0.00008234,0.00059946,0.00005896,0.00000088,0.00005843,0.00004637,-0.00000126,0.00000096,0.00001281,-0.00000251,0.00020088,0.00009388,0.00001226,0.00000178,0.00001334,-0.00000236,0.00013061,0.00060664,0.00028767,0.00060235,0.0000746,0.00001309,0.00022207,0.00001367,D
-0.00017943,0.00004219,0.00000494,0.00069165,0.0001682,0.00002192,-0.00042022,0.00003934,0.00020247,0.00068748,0.00016577,0.00002107,-0.00002405,-0.0000115,0.00000181,0.00002843,0.00003446,0.00000652,-0.00020814,-0.00003866,0.00003875,0.00002839,0.00003445,0.00000651,0.00018439,0.00071215,0.00046811,0.0007075,0.00002671,0.00004515,0.00021522,0.00004512,D
-0.00024906,0.00010693,0.00001542,0.00021754,0.00018128,0.00003409,-0.00046189,0.00001346,0.00017437,0.00021788,0.00018182,0.00003414,-0.00002176,0.00002023,0.00000327,-0.00014816,0.00000409,0.0000038,-0.00001302,-0.00000809,-0.00000878,-0.00014675,0.00000502,0.00000408,0.00027148,0.00028522,0.00049389,0.00028582,0.00002989,0.00014827,0.00001767,0.00014689,D
-0.00048989,0.0001368,-0.00000014,0.00038401,0.00030571,0.0000149,-0.00052561,-0.00003802,0.00010678,0.00039071,0.00031077,0.00001618,-0.00003884,0.00000482,-0.00000251,0.00002685,0.00002007,-0.0000031,-0.00001028,-0.0000083,-0.0000109,0.00002788,0.0000208,-0.0000029,0.00050863,0.00049107,0.00053769,0.00049949,0.00003922,0.00003366,0.00001713,0.0000349,D
