instances,classes,test_distribution,retraining_time,adjustment_time,opt_time
1000,2,[0.5029311 0.4970689],0.02699899673461914,0.002000570297241211,0.029007911682128906
1000,2,[0.52982659 0.47017341],0.019037961959838867,0.0020036697387695312,0.028997421264648438
1000,2,[0.62519295 0.37480705],0.024522781372070312,0.002992391586303711,0.0279998779296875
1000,2,[0.5359233 0.4640767],0.021518230438232422,0.0029993057250976562,0.02899932861328125
1000,2,[0.81983616 0.18016384],0.017999887466430664,0.0029997825622558594,0.027514934539794922
1000,2,[0.9098876 0.0901124],0.018999814987182617,0.003000497817993164,0.027003765106201172
1000,2,[0.79933882 0.20066118],0.017999887466430664,0.0019998550415039062,0.030106067657470703
1000,2,[0.71750713 0.28249287],0.021054744720458984,0.002977132797241211,0.027968883514404297
1000,2,[0.44650456 0.55349544],0.023554086685180664,0.001999378204345703,0.02900862693786621
1000,2,[0.6383222 0.3616778],0.018006086349487305,0.0030002593994140625,0.02851271629333496
1000,3,[0.10426057 0.13415319 0.76158624],0.09651803970336914,0.004001140594482422,0.027997493743896484
1000,3,[0.30508049 0.6840259  0.01089361],0.09553933143615723,0.0030002593994140625,0.13020753860473633
1000,3,[0.1507735  0.06364308 0.78558342],0.09451746940612793,0.003998756408691406,0.028522014617919922
1000,3,[0.38565513 0.38079844 0.23354643],0.0939948558807373,0.003999471664428711,0.023514986038208008
1000,3,[0.1965362  0.32090524 0.48255856],0.09450626373291016,0.004001140594482422,0.024007081985473633
1000,3,[0.47017341 0.02689548 0.5029311 ],0.10352063179016113,0.004032611846923828,0.036972999572753906
1000,3,[0.37480705 0.08926966 0.5359233 ],0.09654092788696289,0.003999471664428711,0.035555362701416016
1000,3,[0.0901124  0.09005144 0.81983616],0.09351396560668945,0.003998994827270508,0.0280001163482666
1000,3,[0.20066118 0.08183168 0.71750713],0.09456562995910645,0.003998279571533203,0.023958683013916016
1000,3,[0.3616778  0.19181764 0.44650456],0.09867048263549805,0.003992319107055664,0.027515172958374023
1000,4,[0.10426057 0.13415319 0.06666673 0.69491951],0.10851597785949707,0.006000041961669922,0.03504061698913574
1000,4,[0.1507735  0.06364308 0.7746898  0.01089361],0.10472226142883301,0.005010366439819336,0.030589580535888672
1000,4,[0.1965362  0.18911893 0.38079844 0.23354643],0.10754895210266113,0.006000041961669922,0.03299975395202637
1000,4,[0.47017341 0.02689548 0.02037255 0.48255856],0.10455727577209473,0.0060045719146728516,0.032555341720581055
1000,4,[0.18016384 0.1946432  0.08926966 0.5359233 ],0.10351777076721191,0.00503849983215332,0.05196833610534668
1000,4,[0.0901124  0.11054878 0.08183168 0.71750713],0.09958648681640625,0.0054852962493896484,0.035999298095703125
1000,4,[0.1622928  0.19938499 0.19181764 0.44650456],0.10058951377868652,0.006002664566040039,0.03300023078918457
1000,4,[0.20786517 0.13082    0.4301216  0.23119322],0.10347390174865723,0.004999876022338867,0.028540611267089844
1000,4,[0.11816281 0.47919815 0.20961662 0.19302243],0.1025075912475586,0.006000518798828125,0.028999805450439453
1000,4,[0.12319655 0.31275527 0.20729839 0.3567498 ],0.10351085662841797,0.006003379821777344,0.028510570526123047
1000,5,[0.10426057 0.13415319 0.06666673 0.6840259  0.01089361],0.2371218204498291,0.008543729782104492,0.03899979591369629
1000,5,[0.1507735  0.06364308 0.17123855 0.38079844 0.23354643],0.23929119110107422,0.007999181747436523,0.03599977493286133
1000,5,[0.1965362  0.27363721 0.02689548 0.02037255 0.48255856],0.24367856979370117,0.008008480072021484,0.04254436492919922
1000,5,[0.0901124  0.09005144 0.1946432  0.08926966 0.5359233 ],0.23533916473388672,0.008006811141967773,0.08683300018310547
1000,5,[0.20066118 0.08183168 0.07918493 0.19181764 0.44650456],0.2350766658782959,0.007999420166015625,0.035523414611816406
1000,5,[0.1622928  0.04557237 0.13082    0.4301216  0.23119322],0.23668646812438965,0.007987499237060547,0.05399799346923828
1000,5,[0.11816281 0.31778901 0.16140914 0.20961662 0.19302243],0.24016571044921875,0.008012056350708008,0.035550832748413086
1000,5,[0.12319655 0.52005365 0.01207202 0.11092081 0.23375696],0.24555063247680664,0.007517576217651367,0.03800034523010254
1000,5,[0.02765813 0.61232976 0.29487394 0.0494952  0.01564297],0.23984456062316895,0.008000850677490234,0.06772708892822266
1000,5,[0.15377088 0.08483807 0.10721261 0.29812269 0.35605574],0.24135613441467285,0.008025646209716797,0.036000728607177734
1000,6,[0.10426057 0.04651293 0.08764026 0.06666673 0.6840259  0.01089361],0.2416830062866211,0.010999202728271484,0.09952354431152344
1000,6,[0.1965362  0.01788038 0.17123855 0.13178631 0.24901213 0.23354643],0.24239516258239746,0.011005401611328125,0.04800009727478027
1000,6,[0.18016384 0.1946432  0.08926966 0.00609671 0.02689548 0.5029311 ],0.24324369430541992,0.010001659393310547,0.08651423454284668
1000,6,[0.0901124  0.11054878 0.08183168 0.07918493 0.19181764 0.44650456],0.25231361389160156,0.011008262634277344,0.11356568336486816
1000,6,[0.1622928  0.04557237 0.13082    0.25867578 0.17144582 0.23119322],0.24814128875732422,0.011543750762939453,0.04900002479553223
1000,6,[0.11816281 0.00503374 0.31275527 0.20729839 0.16372737 0.19302243],0.29620981216430664,0.009999275207519531,0.043999671936035156
1000,6,[0.63998789 0.01533433 0.11092081 0.1686188  0.0494952  0.01564297],0.2542300224304199,0.01100778579711914,0.04753589630126953
1000,6,[0.02765813 0.12611275 0.08483807 0.10721261 0.29812269 0.35605574],0.25014352798461914,0.01100778579711914,0.10954880714416504
1000,6,[0.19819524 0.35755835 0.04931018 0.27540886 0.00484085 0.11468652],0.2606523036956787,0.009999513626098633,0.14454889297485352
1000,6,[0.15687407 0.33833482 0.07532028 0.21177046 0.0195036  0.19819676],0.2621591091156006,0.01100611686706543,0.1380786895751953
1000,7,"[0.10426057 0.04651293 0.06364308 0.02399718 0.06666673 0.6840259
 0.01089361]",0.26424574851989746,0.013016223907470703,0.11207747459411621
1000,7,"[0.1965362  0.18911893 0.08451828 0.02689548 0.02037255 0.24901213
 0.23354643]",0.2623317241668701,0.014008283615112305,0.07354950904846191
1000,7,"[0.0901124  0.09005144 0.02049734 0.08183168 0.09231418 0.08926966
 0.5359233 ]",0.25627613067626953,0.014008283615112305,0.05155014991760254
1000,7,"[0.1622928  0.04557237 0.13082    0.02299262 0.19181764 0.21531134
 0.23119322]",0.2548489570617676,0.013998031616210938,0.06251859664916992
1000,7,"[0.11816281 0.00503374 0.31275527 0.16140914 0.04588925 0.16372737
 0.19302243]",0.25925207138061523,0.014007806777954102,0.33864927291870117
1000,7,"[0.02765813 0.61232976 0.01533433 0.11092081 0.1686188  0.0494952
 0.01564297]",0.251054048538208,0.014168024063110352,0.05500054359436035
1000,7,"[0.15377088 0.08483807 0.10721261 0.20993203 0.08819067 0.23652837
 0.11952737]",0.25206422805786133,0.014008283615112305,0.08473587036132812
1000,7,"[0.19819524 0.29701365 0.07532028 0.0345346  0.17723586 0.10301384
 0.11468652]",0.25653648376464844,0.01400899887084961,0.07401394844055176
1000,7,"[0.15687407 0.06004815 0.02667404 0.19876302 0.35944396 0.08440571
 0.11379106]",0.24630451202392578,0.014007806777954102,0.06300044059753418
1000,7,"[0.25024083 0.02005552 0.06494819 0.01478254 0.03684098 0.30409824
 0.30903369]",0.25217270851135254,0.014026403427124023,0.06499910354614258
1000,8,"[0.10426057 0.04651293 0.06364308 0.02399718 0.06666673 0.08057464
 0.60345125 0.01089361]",0.27516913414001465,0.018254518508911133,0.05651664733886719
1000,8,"[0.1965362  0.17827084 0.08926966 0.00609671 0.02689548 0.02037255
 0.24901213 0.23354643]",0.2701694965362549,0.01699995994567871,0.06751751899719238
1000,8,"[0.0901124  0.0721804  0.01787104 0.02049734 0.08183168 0.07918493
 0.19181764 0.44650456]",0.27407288551330566,0.01750946044921875,0.058001041412353516
1000,8,"[0.11816281 0.08970236 0.13082    0.09726664 0.16140914 0.17144582
 0.03817079 0.19302243]",0.266338586807251,0.016997814178466797,0.06958603858947754
1000,8,"[0.12319655 0.51679134 0.00326231 0.01207202 0.11092081 0.1686188
 0.0494952  0.01564297]",0.26426124572753906,0.016999006271362305,0.06157422065734863
1000,8,"[0.02765813 0.12611275 0.08483807 0.10721261 0.20993203 0.08819067
 0.23652837 0.11952737]",0.2658543586730957,0.01704239845275879,0.054574012756347656
1000,8,"[0.15687407 0.04132117 0.29701365 0.07532028 0.0345346  0.17723586
 0.10301384 0.11468652]",0.2651238441467285,0.017022371292114258,0.09655022621154785
1000,8,"[0.21692222 0.02667404 0.14327181 0.05549121 0.24860703 0.11083693
 0.08440571 0.11379106]",0.26926159858703613,0.017007827758789062,0.06554889678955078
1000,8,"[0.25024083 0.02005552 0.06494819 0.01478254 0.0419208  0.03450389
 0.547597   0.02595122]",0.26633405685424805,0.01700758934020996,0.0635530948638916
1000,8,"[0.28102893 0.05532203 0.05365389 0.00315942 0.17051082 0.25654368
 0.01757866 0.16220257]",0.2686498165130615,0.017506122589111328,0.06300210952758789
1000,9,"[0.10426057 0.04651293 0.06364308 0.02399718 0.06666673 0.08057464
 0.38079844 0.22265281 0.01089361]",0.2732234001159668,0.021007537841796875,0.06855154037475586
1000,9,"[0.0901124  0.09005144 0.01637236 0.17827084 0.08926966 0.00609671
 0.02689548 0.02037255 0.48255856]",0.2770397663116455,0.020554542541503906,0.06999993324279785
1000,9,"[0.1622928  0.03836838 0.00720399 0.07462769 0.05619231 0.02299262
 0.19181764 0.21531134 0.23119322]",0.2795689105987549,0.02200770378112793,0.08152365684509277
1000,9,"[0.11816281 0.00503374 0.31275527 0.16140914 0.04588925 0.01207202
 0.11092081 0.04073453 0.19302243]",0.28478455543518066,0.021001338958740234,0.07852387428283691
1000,9,"[0.02765813 0.12611275 0.08483807 0.10721261 0.29416633 0.00395636
 0.29091758 0.0494952  0.01564297]",0.27429986000061035,0.021004676818847656,0.06461596488952637
1000,9,"[0.19819524 0.29701365 0.0605447  0.01477558 0.0345346  0.17723586
 0.09817299 0.00484085 0.11468652]",0.27518272399902344,0.021007776260375977,0.15656137466430664
1000,9,"[0.15687407 0.06004815 0.02667404 0.14327181 0.05549121 0.24860703
 0.11083693 0.08440571 0.11379106]",0.27536582946777344,0.022007465362548828,0.07555007934570312
1000,9,"[0.25024083 0.02005552 0.06494819 0.01478254 0.0419208  0.03450389
 0.13722332 0.41037368 0.02595122]",0.2731029987335205,0.021008014678955078,0.06601500511169434
1000,9,"[0.11506078 0.02962035 0.13634781 0.05532203 0.05365389 0.00315942
 0.42705449 0.01757866 0.16220257]",0.2732863426208496,0.021008014678955078,0.07657861709594727
1000,9,"[0.03265716 0.036321   0.05075015 0.10016736 0.31477065 0.095401
 0.02553428 0.25161619 0.09278221]",0.2823762893676758,0.021008014678955078,0.07132244110107422
1000,10,"[0.10426057 0.04651293 0.0457627  0.01788038 0.02399718 0.06666673
 0.08057464 0.38079844 0.22265281 0.01089361]",0.3082239627838135,0.024997949600219727,0.07928013801574707
1000,10,"[0.0901124  0.09005144 0.02049734 0.08183168 0.09231418 0.08926966
 0.00609671 0.02689548 0.02037255 0.48255856]",0.2992579936981201,0.025999784469604492,0.0865476131439209
1000,10,"[0.11816281 0.04413    0.04557237 0.13082    0.02299262 0.19181764
 0.04386552 0.17144582 0.03817079 0.19302243]",0.2793750762939453,0.025007963180541992,0.0845499038696289
1000,10,"[0.02765813 0.09553842 0.31275527 0.20403608 0.00326231 0.01207202
 0.11092081 0.1686188  0.0494952  0.01564297]",0.2832982540130615,0.024999141693115234,0.20509982109069824
